[front_panel]
mode=T2 - R2
output=5 dB
gain=10 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=1
begin=0
end=100
sound speed=2730
units=0

[ascan]
fft filter=0
fft middle=2
fft width=2
fft gate=5
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
4,376E+00	8,485E-01	
4,382E+00	7,534E-01	
4,388E+00	4,574E-01	
4,395E+00	4,957E-01	
4,401E+00	6,843E-01	
4,407E+00	8,728E-01	
4,413E+00	5,699E-01	
4,419E+00	3,836E-01	
4,425E+00	8,103E-01	
4,431E+00	7,966E-01	
4,437E+00	7,530E-01	
4,443E+00	4,950E-01	
4,449E+00	1,147E+00	
4,456E+00	1,992E-01	
4,462E+00	1,010E+00	
4,468E+00	4,221E-01	
4,474E+00	8,942E-01	
4,480E+00	7,285E-01	
4,486E+00	7,025E-01	
4,492E+00	8,981E-01	
4,498E+00	5,825E-01	
4,504E+00	1,083E+00	
4,510E+00	5,993E-01	
4,517E+00	1,093E+00	
4,523E+00	4,142E-01	
4,529E+00	9,565E-01	
4,535E+00	5,536E-01	
4,541E+00	9,695E-01	
4,547E+00	7,791E-01	
4,553E+00	1,083E+00	
4,559E+00	3,164E-01	
4,565E+00	7,037E-01	
4,572E+00	8,137E-01	
4,578E+00	6,113E-01	
4,584E+00	5,007E-01	
4,590E+00	1,052E+00	
4,596E+00	1,052E+00	
4,602E+00	1,297E+00	
4,608E+00	3,609E-01	
4,614E+00	9,333E-01	
4,620E+00	7,316E-01	
4,626E+00	7,023E-01	
4,633E+00	1,106E+00	
4,639E+00	6,904E-01	
4,645E+00	1,163E+00	
4,651E+00	6,612E-01	
4,657E+00	1,078E+00	
4,663E+00	4,756E-01	
4,669E+00	8,786E-01	
4,675E+00	1,194E+00	
4,681E+00	9,314E-01	
4,688E+00	1,001E+00	
4,694E+00	4,735E-01	
4,700E+00	8,100E-01	
4,706E+00	8,471E-01	
4,712E+00	1,047E+00	
4,718E+00	1,464E+00	
4,724E+00	5,316E-01	
4,730E+00	8,714E-01	
4,736E+00	1,171E+00	
4,742E+00	1,007E+00	
4,749E+00	6,647E-01	
4,755E+00	1,275E+00	
4,761E+00	9,265E-01	
4,767E+00	9,458E-01	
4,773E+00	5,826E-01	
4,779E+00	1,216E+00	
4,785E+00	1,062E+00	
4,791E+00	1,032E+00	
4,797E+00	8,229E-01	
4,803E+00	5,550E-01	
4,810E+00	1,159E+00	
4,816E+00	1,398E+00	
4,822E+00	1,059E+00	
4,828E+00	9,560E-01	
4,834E+00	4,933E-01	
4,840E+00	1,282E+00	
4,846E+00	1,104E+00	
4,852E+00	5,979E-01	
4,858E+00	1,017E+00	
4,865E+00	9,028E-01	
4,871E+00	9,449E-01	
4,877E+00	1,094E+00	
4,883E+00	1,216E+00	
4,889E+00	1,294E+00	
4,895E+00	7,492E-01	
4,901E+00	7,105E-01	
4,907E+00	1,126E+00	
4,913E+00	1,059E+00	
4,919E+00	7,948E-01	
4,926E+00	1,058E+00	
4,932E+00	9,472E-01	
4,938E+00	6,985E-01	
4,944E+00	8,295E-01	
4,950E+00	1,424E+00	
4,956E+00	9,413E-01	
4,962E+00	1,109E+00	
4,968E+00	9,798E-01	
4,974E+00	9,958E-01	
4,980E+00	7,049E-01	
4,987E+00	1,157E+00	
4,993E+00	8,399E-01	
4,999E+00	5,129E-01	
5,005E+00	6,864E-01	
5,011E+00	1,285E+00	
5,017E+00	9,765E-01	
5,023E+00	7,411E-01	
5,029E+00	1,057E+00	
5,035E+00	1,136E+00	
5,042E+00	7,591E-01	
5,048E+00	6,736E-01	
5,054E+00	1,597E+00	
5,060E+00	8,933E-01	
5,066E+00	8,146E-01	
5,072E+00	6,160E-01	
5,078E+00	8,587E-01	
5,084E+00	4,845E-01	
5,090E+00	8,540E-01	
5,096E+00	1,066E+00	
5,103E+00	4,676E-01	
5,109E+00	8,354E-01	
5,115E+00	1,053E+00	
5,121E+00	1,000E+00	
5,127E+00	5,829E-01	
5,133E+00	7,593E-01	
5,139E+00	1,261E+00	
5,145E+00	7,115E-01	
5,151E+00	4,622E-01	
5,157E+00	7,266E-01	
5,164E+00	8,692E-01	
5,170E+00	3,926E-01	
5,176E+00	1,061E+00	
5,182E+00	1,581E+00	
5,188E+00	5,102E-01	
5,194E+00	6,246E-01	
5,200E+00	7,684E-01	
5,206E+00	8,971E-01	
5,212E+00	5,067E-01	
5,219E+00	9,151E-01	
5,225E+00	1,524E+00	
5,231E+00	8,890E-01	
5,237E+00	5,852E-01	
5,243E+00	1,488E+00	
5,249E+00	1,074E+00	
5,255E+00	6,677E-01	
5,261E+00	1,162E+00	
5,267E+00	8,826E-01	
5,273E+00	3,844E-01	
5,280E+00	6,560E-01	
5,286E+00	1,189E+00	
5,292E+00	3,934E-01	
5,298E+00	3,991E-01	
5,304E+00	9,524E-01	
5,310E+00	9,546E-01	
5,316E+00	2,553E-01	
5,322E+00	7,937E-01	
5,328E+00	8,060E-01	
